SKU,Cut,Finish,Alloy,Wall,Leg A,Leg B,Price,Name
OA2158-6A,6',Clear Anodized,6063-T5,"1/16""","3/4""","3/4""",7.86,"Angle: 3/4"" x 3/4"" x 1/16"""
OA2167-6A,6',Clear Anodized,6063-T5,"1/16""","1""","1""",9.86,"Angle: 1"" x 1"" x 1/16"""
OA3365-6A,6',Clear Anodized,6063-T5,"1/16""","1-1/2""","1-1/2""",13.01,"Angle: 1-1/2"" x 1-1/2"" x 1/16"""
OA6093-6A,6',Clear Anodized,6063-T5,"1/16""","1-3/4""","1-3/4""",14.96,"Angle: 1-3/4"" x 1-3/4"" x 1/16"""
OA7011-6A,6',Clear Anodized,6063-T5,"1/16""","5/8""","5/8""",6.87,"Angle: 5/8"" x 5/8"" x 1/16"""
OA7692-6A,6',Clear Anodized,6063-T5,"1/16""","2""","2""",20.33,"Angle: 2"" x 2"" x 1/16"""
OA1551-3A,3',Clear Anodized,6063-T5,"1/16""","1/2""","1/2""",4.56,"Angle: 1/2"" x 1/2"" x 1/16"""
OA7011-3A,3',Clear Anodized,6063-T5,"1/16""","5/8""","5/8""",4.24,"Angle: 5/8"" x 5/8"" x 1/16"""
OA1547-3A,3',Clear Anodized,6063-T5,"1/16""","3/4""","3/4""",5.79,"Angle: 3/4"" x 3/4"" x 1/16"""
OA2158-3A,3',Clear Anodized,6063-T5,"1/16""","3/4""","3/4""",4.73,"Angle: 3/4"" x 3/4"" x 1/16"""
OA1030-3A,3',Clear Anodized,6063-T5,"1/16""","1""","1""",7.17,"Angle: 1"" x 1"" x 1/16"""
OA2167-3A,3',Clear Anodized,6063-T5,"1/16""","1""","1""",5.73,"Angle: 1"" x 1"" x 1/16"""
OA1295-3A,3',Clear Anodized,6063-T5,"1/16""","1-1/4""","1-1/4""",6.3,"Angle: 1-1/4"" x 1-1/4"" x 1/16"""
OA3365-3A,3',Clear Anodized,6063-T5,"1/16""","1-1/2""","1-1/2""",7.31,"Angle: 1-1/2"" x 1-1/2"" x 1/16"""
OA6093-3A,3',Clear Anodized,6063-T5,"1/16""","1-3/4""","1-3/4""",8.28,"Angle: 1-3/4"" x 1-3/4"" x 1/16"""
OA7692-3A,3',Clear Anodized,6063-T5,"1/16""","2""","2""",10.97,"Angle: 2"" x 2"" x 1/16"""
OA1544-12,12',Clear Anodized,6063-T5,"1/16""","1/2""","3/4""",11.73,"Angle: 3/4"" x 1/2"" x 1/16"""
OA1551-12,12',Clear Anodized,6063-T5,"1/16""","1/2""","1/2""",15.04,"Angle: 1/2"" x 1/2"" x 1/16"""
OA2158-12,12',Clear Anodized,6063-T5,"1/16""","3/4""","3/4""",15.72,"Angle: 3/4"" x 3/4"" x 1/16"""
OA2167-12,12',Clear Anodized,6063-T5,"1/16""","1""","1""",19.72,"Angle: 1"" x 1"" x 1/16"""
OA2073-6A,6',Clear Anodized,6063-T5,"1/8""","1-1/2""","1-1/2""",19.59,"Angle: 1-1/2"" x 1-1/2"" x 1/8"""
OA2091-6A,6',Clear Anodized,6063-T5,"1/8""","1""","1""",13.82,"Angle: 1"" x 1"" x 1/8"""
OA6144-6A,6',Clear Anodized,6063-T5,"1/8""","1/2""","1/2""",12.05,"Angle: 1/2"" x 1/2"" x 1/8"""
OA7022-6A,6',Clear Anodized,6063-T5,"1/8""","1-1/4""","1-1/4""",19.77,"Angle: 1-1/4"" x 1-1/4"" x 1/8"""
OA7025-6A,6',Clear Anodized,6063-T5,"1/8""","2""","2""",31.06,"Angle: 2"" x 2"" x 1/8"""
OA7027-6A,6',Clear Anodized,6063-T5,"1/8""","1-3/4""","1-3/4""",21.33,"Angle: 1-3/4"" x 1-3/4"" x 1/8"""
OA6144-3A,3',Clear Anodized,6063-T5,"1/8""","1/2""","1/2""",6.83,"Angle: 1/2"" x 1/2"" x 1/8"""
OA1202-3A,3',Clear Anodized,6063-T5,"1/8""","3/4""","3/4""",5.42,"Angle: 3/4"" x 3/4"" x 1/8"""
OA2091-3A,3',Clear Anodized,6063-T5,"1/8""","1""","1""",7.71,"Angle: 1"" x 1"" x 1/8"""
OA7022-3A,3',Clear Anodized,6063-T5,"1/8""","1-1/4""","1-1/4""",10.69,"Angle: 1-1/4"" x 1-1/4"" x 1/8"""
OA2073-3A,3',Clear Anodized,6063-T5,"1/8""","1-1/2""","1-1/2""",10.6,"Angle: 1-1/2"" x 1-1/2"" x 1/8"""
OA7027-3A,3',Clear Anodized,6063-T5,"1/8""","1-3/4""","1-3/4""",11.47,"Angle: 1-3/4"" x 1-3/4"" x 1/8"""
OA7025-3A,3',Clear Anodized,6063-T5,"1/8""","2""","2""",16.33,"Angle: 2"" x 2"" x 1/8"""
OA1202-12,12',Clear Anodized,6063-T5,"1/8""","3/4""","3/4""",18.46,"Angle: 3/4"" x 3/4"" x 1/8"""
OA2073-12,12',Clear Anodized,6063-T5,"1/8""","1-1/2""","1-1/2""",39.18,"Angle: 1-1/2"" x 1-1/2"" x 1/8"""
OA2091-12,12',Clear Anodized,6063-T5,"1/8""","1""","1""",27.64,"Angle: 1"" x 1"" x 1/8"""
OA7025-12,12',Clear Anodized,6063-T5,"1/8""","2""","2""",62.12,"Angle: 2"" x 2"" x 1/8"""
