SKU,Cut,Finish,Alloy,Wall,Leg A,Leg B,Price
OA9233-M,8,Mill,6063-T5,"1/16""","1/4""","1/4""",2.48
OA9378-M,8,Mill,6063-T5,"1/16""","3/8""","3/8""",3.33
OA1940-M,8,Mill,6063-T5,"1/16""","3/8""","1/2""",3.84
OA1551-M,8,Mill,6063-T5,"1/16""","1/2""","1/2""",6.03
OA7011-M,8,Mill,6063-T5,"1/16""","5/8""","5/8""",5.7
OA2158-M,8,Mill,6063-T5,"1/16""","3/4""","3/4""",6.48
OA2167-M,8,Mill,6063-T5,"1/16""","1""","1""",9.14
OA6144-M,8,Mill,6063-T5,"1/8""","1/2""","1/2""",12.06
OA2101-M,8,Mill,6063-T5,"1/8""","1/2""","1""",17.02
OA9382-M,8,Mill,6063-T5,"1/8""","1/2""","2""",20.48
OA9379-M,8,Mill,6063-T5,"1/8""","5/8""","5/8""",10.82
OA1202-M,8,Mill,6063-T5,"1/8""","3/4""","3/4""",8.31
OA9380-M,8,Mill,6063-T5,"1/8""","7/8""","7/8""",15.62
OA2091-M,8,Mill,6063-T5,"1/8""","1""","1""",14.13
OA1554-M,8,Mill,6063-T5,"1/8""","1""","1-1/2""",12.65
OA9381-M,8,Mill,6063-T5,"1/8""","1""","2""",27.58
OA7022-M,8,Mill,6063-T5,"1/8""","1-1/4""","1-1/4""",22.36
OA2073-M,8,Mill,6063-T5,"1/8""","1-1/2""","1-1/2""",22.12
OA2776-M,8,Mill,6063-T5,"1/8""","1-1/2"" ","2""",32.38
OA7027-M,8,Mill,6063-T5,"1/8""","1-3/4""","1-3/4""",24.44
OA7025-M,8,Mill,6063-T5,"1/8""","2""","2""",29.04
OA7021-M,8,Mill,6063-T5,"3/16""","1""","1""",27.42
OA7023-M,8,Mill,6063-T5,"3/16""","1-1/4""","1-1/4""",29.07
OA7024-M,8,Mill,6063-T5,"3/16""","1-1/2""","1-1/2""",38.07
OA7026-M,8,Mill,6063-T5,"3/16""","2""","2""",37.41
OA7440-M,8,Mill,6063-T5,"3/16""","4""","4""",72.32
OA4096-M,8,Mill,6063-T5,"1/4""","1""","1""",33.6
OA2528-M,8,Mill,6063-T5,"1/4""","1""","2""",14.83
OA3754-M,8,Mill,6063-T5,"1/4""","1-1/4""","1-1/4""",43.2
OA9383-M,8,Mill,6063-T5,"1/4""","1-1/2""","1-1/2""",52.86
OA9384-M,8,Mill,6063-T5,"1/4""","2""","2""",72.06
