SKU,Cut,Finish,Alloy,Thickness (in),Width (in),Price,Name
OA2840,6',Mill Finish,6063-T5,"1/16""","1/2""",1.92,"Flat Bar: 1/2"" x 1/16"" - 1/32"" Radius"
OA7846,6',Mill Finish,6063-T5,"1/16""","1""",3.75,"Flat Bar: 1"" x 1/16"" - 1/32"" Radius"
OA3995,6',Mill Finish,6063-T5,"1/16""","1-1/2""",7.13,"Flat Bar: 1-1/2"" x 1/16"" - 1/16"" Radius"
OA7847,6',Mill Finish,6063-T5,"1/16""","1-1/2""",5.63,"Flat Bar: 1-1/2"" x 1/16"" - 1/32"" Radius"
OA7848,6',Mill Finish,6063-T5,"1/16""","2""",7.55,"Flat Bar: 2"" x 1/16"" - 1/32"" Radius"
OA1417,6',Mill Finish,6063-T5,"3/32""","1/2""",2.79,"Flat Bar: 1/2"" x 3/32"" - 1/32"" Radius"
OAxxxx,6',Mill Finish,6063-T5,"3/32""","1/2""",3.54,"Flat Bar: 1/2"" x 3/32"" - 1/32"" Radius"
OA2448,6',Mill Finish,6063-T5,"3/32""","3/4""",4.26,"Flat Bar: 3/4"" x 3/32"" - 3/64"" Radius"
OA6914,6',Mill Finish,6063-T5,"1/8""","1/4""",2.05,"Flat Bar: 1/4"" x 1/8"" - 1/32"" Radius"
OA1022,6',Mill Finish,6063-T5,"1/8""","5/8""",4.56,"Flat Bar: 5/8"" x 1/8"" - 1/16"" Radius"
OA7849,6',Mill Finish,6063-T5,"1/8""","1""",7.61,"Flat Bar: 1"" x 1/8"" - 1/32"" Radius"
OA2742,6',Mill Finish,6063-T5,"1/8""","1-1/2""",11.4,"Flat Bar: 1-1/2"" x 1/8"" - 1/16"" Radius"
OA7850,6',Mill Finish,6063-T5,"1/8""","2""",15.21,"Flat Bar: 2"" x 1/8"" - 1/32"" Radius"
OA5323,6',Mill Finish,6063-T5,"1/8""","2-1/2""",18.71,"Flat Bar: 2-1/2"" x 1/8"" - 1/32"" Radius"
OA1352,6',Mill Finish,6063-T5,"3/16""","1/2""",5.22,"Flat Bar: 1/2"" x 3/16"" - 3/32"" Radius"
OA9276,6',Mill Finish,6063-T5,"3/16""","1""",10.42,"Flat Bar: 1"" x 3/16"" - 3/32"" Radius"
OA7852,6',Mill Finish,6063-T5,"1/4""","1/2""",7.61,"Flat Bar: 1/2"" x 1/4"" - 1/16"" Radius"
OA9278,6',Mill Finish,6063-T5,"1/4""","3/4""",10.61,"Flat Bar: 3/4"" x 1/4"" - 1/16"" Radius"
OA7853,6',Mill Finish,6063-T5,"1/4""","1""",15.21,"Flat Bar: 1"" x 1/4"" - 1/16"" Radius"
OA7854,6',Mill Finish,6063-T5,"1/4""","1-1/2""",22.8,"Flat Bar: 1-1/2"" x 1/4"" - 1/16"" Radius"
OA7855,6',Mill Finish,6063-T5,"1/4""","2""",30.41,"Flat Bar: 2"" x 1/4"" - 1/16"" Radius"
OA9279,6',Mill Finish,6063-T5,"3/8""","3/8""",7.87,"Flat Bar: 3/8"" x 3/8"" - 1/16"" Radius"
OA1642,6',Mill Finish,6063-T5,"3/8""","5/8""",14.04,"Flat Bar: 5/8"" x 3/8"" - 1/16"" Radius"
OA9280,6',Mill Finish,6063-T5,"3/8""","3/4""",16.03,"Flat Bar: 3/4"" x 3/8"" - 1/16"" Radius"
OA9281,6',Mill Finish,6063-T5,"3/8""","1""",21.41,"Flat Bar: 1"" x 3/8"" - 1/16"" Radius"
OA9282,6',Mill Finish,6063-T5,"3/8""","1-1/2""",32.21,"Flat Bar: 1-1/2"" x 3/8"" - 1/16"" Radius"
OA9283,6',Mill Finish,6063-T5,"3/8""","2""",43.01,"Flat Bar: 2"" x 3/8"" - 1/16"" Radius"
OA9284,6',Mill Finish,6063-T5,"7/16""","7/16""",10.99,"Flat Bar: 7/16"" x 7/16"" - 1/31"" Radius"
OA1748,6',Mill Finish,6063-T5,"7/16""","3/4""",19.9,"Flat Bar: 3/4"" x 7/16"" - 1/32"" Radius"
OA9285,6',Mill Finish,6063-T5,"1/2""","1/2""",14.21,"Flat Bar: 1/2"" x 1/2"" - 1/16"" Radius"
OA5534,6',Mill Finish,6063-T5,"1/2""","1""",30.21,"Flat Bar: 1"" x 1/2"" - 1/16"" Radius"
OA9286,6',Mill Finish,6063-T5,"1/2""","1-1/2""",43.01,"Flat Bar: 1-1/2"" x 1/2"" - 1/16"" Radius"
OA9287,6',Mill Finish,6063-T5,"1/2""","2""",57.41,"Flat Bar: 2"" x 1/2"" - 1/16"" Radius"
OA9277,6',Mill Finish,6063-T5,"1/4""","1/4""",3.41,"Flat Bar: 1/4"" x 1/4"" - 1/16"" Radius"
OA9288,6',Mill Finish,6063-T5,"5/8""","5/8""",22.32,"Flat Bar: 5/8"" x 5/8"" - 1/32"" Radius"
OA9289,6',Mill Finish,6063-T5,"5/8""","1""",35.95,"Flat Bar: 1"" x 5/8"" - 1/32"" Radius"
OA6494,6',Mill Finish,6063-T5,"5/8""","2""",41.25,"Flat Bar: 2"" x 5/8"" - 1/32"" Radius"
OA9290,6',Mill Finish,6063-T5,"3/4""","3/4""",29.33,"Flat Bar: 3/4"" x 3/4"" - 1/4"" Radius"
OA9291,6',Mill Finish,6063-T5,"3/4""","1""",40.08,"Flat Bar: 1"" x 3/4"" - 1/4"" Radius"
OA9292,6',Mill Finish,6063-T5,"3/4""","1-1/2""",61.68,"Flat Bar: 1-1/2"" x 3/4"" - 1/4"" Radius"
OA3631,6',Mill Finish,6063-T5,"3/4""","1-3/4""",68.54,"Flat Bar: 1-3/4"" x 3/4"" - 3/8"" Radius"
OA9293,6',Mill Finish,6063-T5,"1""","1""",54.48,"Flat Bar: 1"" x 1"" - 1/4"" Radius"
OA9294,6',Mill Finish,6063-T5,"1""","1-1/5""",83.28,"Flat Bar: 1-1/5"" x 1"" - 1/4"" Radius"
OA9295,6',Mill Finish,6063-T5,"1""","2""",112.08,"Flat Bar: 2"" x 1"" - 1/4"" Radius"
OA7849-12A,12',Clear Anodized,6063-T5,"1/8""","1""",19.99,"Flat Bar: 1"" x 1/8"" - 1/32"" Radius"
OA7850-12A,12',Clear Anodized,6063-T5,"1/8""","2""",19.99,"Flat Bar: 2"" x 1/8"" - 1/32"" Radius"
