SKU,Cut,Finish,Alloy,Wall,ID (in),OD (in),Price,Name
OA5909-A,6',Clear Anodized,6063-T5,"1/16""","3/8""","1/2""",11.39,"Round Tube : 1/2""  OD  x 3/8"" ID"
OA5777-A,6',Clear Anodized,6063-T5,"1/16""","7/8""","1""",17.67,"Round Tube : 1""  OD  x 7/8"" ID"
OA5725-A,6',Clear Anodized,6063-T5,"1/16""","1-3/8""","1-1/2""",25.79,"Round Tube : 1-1/2""  OD  x 1-3/8"" ID"
OA7461-A,6',Clear Anodized,6063-T5,"1/16""","1/8""","1/4""",5.41,"Round Tube : 1/4""  OD  x 1/8"" ID"
OA5711-A,6',Clear Anodized,6063-T5,"1/16""","29/64""","5/8""",7.53,"Round Tube : 5/8""  OD  x 29/64"" ID"
OA5944-A,6',Clear Anodized,6063-T5,"1/16""","5/8""","3/4""",14,"Round Tube : 3/4""  OD  x 5/8"" ID"
OA6899-A,6',Clear Anodized,6063-T5,"1/16""","47/64""","7/8""",9.76,"Round Tube : 7/8""  OD  x 47/64"" ID"
OA5541-A,6',Clear Anodized,6063-T5,"3/32""","9/64""","3/8""",11.46,"Round Tube : 3/8""  OD  x 9/64"" ID"
OA7646-A,6',Clear Anodized,6063-T5,"5/32""","2-1/16""","2-3/8""",40.77,"Round Tube : 2-3/8""  OD  x 2-1/16"" ID"
OA6937-A,6',Clear Anodized,6063-T5,"13/64""","1-7/32""","1-5/8""",32.12,"Round Tube : 1-5/8""  OD  x 1-7/32"" ID"
