SKU,Cut,Finish,Alloy,Height,Legs,Wall,Price,Name
OA9241,6',Mill Finish,6061-T6,"1/2""","3/4""","1/16""",6.72,"Z Bar: 1/2"" x 3/4"" x 1/16"""
OA9242,6',Mill Finish,6061-T6,"5/8""","3/4""","1/16""",7.15,"Z Bar: 5/8"" x 3/4"" x 1/16"""
OA9243,6',Mill Finish,6061-T6,"3/4""","1""","1/16""",9.36,"Z Bar: 3/4"" x 1"" x 1/16"""
OA9244,6',Mill Finish,6061-T6,"1""","3/4""","1/16""",8.5,"Z Bar: 1"" x 3/4"" x 1/16"""
OA9245,6',Mill Finish,6061-T6,"1""","1""","1/16""",10.27,"Z Bar: 1"" x 1"" x 1/16"""
OA9246,6',Mill Finish,6061-T6,"1-1/8""","1 1/8""","1/16""",11.62,"Z Bar: 1 1/8"" x 1 1/8"" x 1/16"""
OA9247,6',Mill Finish,6061-T6,"1/2""","3/4""","1/8""",12.62,"Z Bar: 1/2"" x 3/4"" x 1/8"""
OA9248,6',Mill Finish,6061-T6,"5/8""","3/4""","1/8""",13.49,"Z Bar: 5/8"" x 3/4"" x 1/8"""
OA9249,6',Mill Finish,6061-T6,"3/4""","1""","1/8""",18,"Z Bar: 3/4"" x 1"" x 1/8"""
OA9250,6',Mill Finish,6061-T6,"1""","3/4""","1/8""",16.22,"Z Bar: 1"" x 3/4"" x 1/8"""
OA9251,6',Mill Finish,6061-T6,"1""","1""","1/8""",19.82,"Z Bar: 1"" x 1"" x 1/8"""
OA9252,6',Mill Finish,6061-T6,"1-1/8""","1 1/8""","1/8""",22.51,"Z Bar: 1 1/8"" x 1 1/8"" x 1/8"""
